name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #20851 sold for 38.88 ETH (127.56K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/20851 …,2022-03-28T00:43:40.000Z,,2,
NFT Whale Alert,@nftwhalealert,"Mutant   Ape   Yacht Club  20851 bought for Ξ38.88 ($128,229.35)
Avg Price: Ξ23.99
Rare Traits:
Fur: M2 Cream - 1.4%
Clothes: M2 Sleeveless T - 0.54%
Hat: M2 Baby's Bonnet - 0.44%
Mouth: M2 Grin Diamond Grill - 0.38% https:// 786628fea6478f785a6d7e704777c86a7c6/20851 …",2022-03-28T00:43:38.000Z,1,5,19
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #20851 sold for 38.88 ETH! ($128583.16)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/20851 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/20851 … Rarity  2074/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-28T00:43:34.000Z,,2,
Portia Prudhomme,@PrudhommePorti1,Check out #30001 by  Mutant   Ape   Yacht Club  at  http://  NFT!  https:// b=collectibles&asset=cd33a56e3101d180d595d23f80896215&edition=10ec7a8322b63f187a6bb301fd7348e9&detail-page=PROFILE&event=portia2297 …  via  @cryptocom .   Thank you all my NFTs lovers. They really do be showing me love and I respect that . I respect the come up. I have some more BAYC and also  Mutant  AYC for sale,2022-03-28T00:43:22.000Z,,,3
NFT Whale Alert｜We are hiring,@nftgobot," NFT Whale Trade Transfer: [0x774095] -> [ 0xe05211] NFT:  Mutant   Ape   Yacht Club  #5694  https:// e4d786628fea6478f785a6d7e704777c86a7c6/5694 …  Price: 28.5 ETH ($93,809.96) Gas: 0.0115 ETH ($37.73) #MAYC",2022-03-28T00:28:35.000Z,,,1
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #5694 sold for 28.5 ETH (93.51K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/5694 …,2022-03-28T00:23:29.000Z,,1,3
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #24444 sold for 23.99 ETH (78.32K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/24444 …,2022-03-27T23:03:58.000Z,,1,1
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #24444 sold for 23.99 ETH! ($78518.79)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/24444 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/24444 … Rarity  11396/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-27T23:03:40.000Z,,1,2
Trengible - Discover the nft trends,@Trengible," - HighWallProperties just bought #25810 for 23.99 ETH ($78,323.03)

Collection:  Mutant   Ape   Yacht Club Date: 2022-03-27 22:59:26 (GMT 0)

Detail:  https:// ht-club/25810-0x60e4d786628fea6478f785a6d7e704777c86a7c6-25810 …",2022-03-27T23:00:21.000Z,,,
NFT Whale Alert,@nftwhalealert,"Hourly Top Volume
World of Women Galaxy: Ξ197.12 ($643,987.82) Mutant   Ape   Yacht Club : Ξ108.98 ($356,043.11)
ESSENCE//: Ξ95.30 ($311,350.58)
Unidentified contract - Z9zTndksje: Ξ45.68 ($149,248.65)",2022-03-27T23:00:09.000Z,,1,6
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #25810 sold for 23.99 ETH (78.32K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/25810 …,2022-03-27T22:59:57.000Z,,1,
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #25810 sold for 23.99 ETH! ($78569.41)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/25810 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/25810 … Rarity  11351/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-27T22:59:41.000Z,,1,3
CryptoNerd,@VeryCryptoNerd,#NFT  Time! On this image you can see  Mutant   Ape   Yacht Club  stats. #mutant_ape_yacht_club    #opensea,2022-03-27T22:51:01.000Z,,2,2
GemBot,@0xGem,New purchase! 1  Mutant   Ape   Yacht Club  bought for 24.5 ETH  https:// 3d6cebb3a8a35b79ab2ed47ca6863636e16b5475196a374f20ed77f …,2022-03-27T21:10:05.000Z,,,4
