name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
Trengible - Discover the nft trends,@Trengible," - ApeG just bought  Azuki  #1711 for 16.78 ETH ($55,539.79)

Collection:  Azuki Date: 2022-03-28 10:08:22 (GMT 0)

Detail:  https:// 11-0xed5af388653567af2f388e6224dc7c4b3241c544 …",2022-03-28T10:09:19.000Z,,,
100％！アピールちゃん【公式】,@appealchan,,2022-03-28T10:08:08.000Z,,,
ブラックサンダーさん【公式】,@Black_Thunder_,,2022-03-28T10:08:04.000Z,,,
Skarla,@nicosdope,"In the view of this week lol normal BAYC lands and hoodies,  Azuki  announcement and the best MNLTH final quest ! 

Ready in the same time as crypto pump lol",2022-03-28T10:07:31.000Z,,,1
凪,@nagitaishi,,2022-03-28T10:07:05.000Z,,,
MBS毎日放送,@MBS_fan,,2022-03-28T10:06:48.000Z,,,
Jstpansy.sol,@Jstpansy,"Don't miss out on this amazing crew and community. Solid support of alot of  azuki  members, if you missed out on the bean, don't snooze on  @TheEverai  been with these guys from the start.... amazing. LFG !! #ETHNFT   #NFTs   #Everai   #animation   #NFTCommunity   #NFTLaunch   #NFTartwork   #NFT",2022-03-28T10:06:44.000Z,2,9,13
Tomoko♩♬♡•*¨*•.¸¸♬︎,@TomokoV6,,2022-03-28T10:06:42.000Z,1,,1
Crypthomas,@thomaharaja,And now they are Azuki founders team   Let me die ahahaha,2022-03-28T10:06:28.000Z,,,
映画『死刑にいたる病』公式,@SIYmovie,,2022-03-28T10:06:17.000Z,,,
SUNTORY（サントリー）,@suntory,,2022-03-28T10:06:11.000Z,,,
Bleu,@0xCBleu,Congrats Eva!,2022-03-28T10:06:08.000Z,,,2
Chloe.Azuki,@ChloeAzuki,"We are  Azuki  family 1. Follow my project  https://  and I will follow you/your project
2. RT my  Azuki  analysis to promote  Azuki  tgt:  https:// /status/1503784366291374082 …  https:// status/1508384257449893890 …",2022-03-28T10:04:39.000Z,,,
kumio,@akikumi1114,,2022-03-28T10:04:12.000Z,1,,1
Material_VRC,@Material_VRC,,2022-03-28T10:03:52.000Z,,,1
tunghaolin,@tunghaolin,Bean F Bean,2022-03-28T10:03:48.000Z,,,2
