name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
NFT Whale Alert,@nftwhalealert,"Hourly Top Sales
Sprite Club Official: 671
Milady Maker: 64
The Space Warriors Club: 63
Trippy Toadz NFT: 62
PuzlPack (Punks): 59
KaijuFrenz: Genesis: 58 MURI   by   Haus : 58
Alienverse - NFT: 51
Gutter Juice: 45
Undead Blocks Genesis Weapons: 41",2022-03-26T18:00:23.000Z,1,4,13
NFT Sentiment Updates,@NFTSentimentX,"1H Top  #Nft  Sales

Sprite Club Official: 666
Everai Heroes: Duo: 287
PuzlPack (Punks): 61
The Space Warriors Club: 60
Milady Maker: 59
Trippy Toadz NFT: 57
KaijuFrenz: Genesis: 57 MURI   by   Haus : 55
Alienverse - NFT: 48
Undead Blocks Genesis Weapons: 41",2022-03-26T18:00:00.000Z,,,2
1nChain,@1nChain,This collection    #MURIbyHaus    #NFT   #NFTs   #opensea,2022-03-26T17:40:34.000Z,3,1,4
Muri Alpha Group,@MuriAlphaGroup,"We hope everyone who has joined the server has been enjoying themselves! Only good intentions for all you Night City Members   

- #MuriNFT   #MURIbyHaus",2022-03-26T16:32:17.000Z,1,2,14
the7dew,@the7dew,Welcome to Night City  @MuriNFT    #MURI    #MURIbyHaus    #MuriFollowMuri,2022-03-26T15:06:43.000Z,,,5
Xinz,@xhtZzzZ,Rocking my new  muri  banner!! Thanks to  @jjjjsoul    #MURIbyHaus    #MuriFollowMuri,2022-03-26T14:23:57.000Z,,1,2
RidhuanMH,@ridhuanmh,"Say hi to the latest addition for   @MuriNFT  . Had some eth released, so spent time browsing for a good looking one. What ya guys think?  #murifollowsmuri   #MURIbyHaus    #murinft   @haustwts",2022-03-26T14:12:59.000Z,,1,7
Sticky DAO | NFT Alerts,@NFTrepreneur,"Murder Head Death Club | (Ξ 0.09) | (Ξ 2.73)
The Alien Doogle | (Ξ 0.03) | (Ξ 0.99)
JPunks: OG-Rex | (Ξ 0.17) | (Ξ 4.37) MURI   by   Haus  | (Ξ 0.48) | (Ξ 11.99)
MAX PAIN AND FRENS BY XCOPY | (Ξ 1.50) | (Ξ 30.98)

Which NFT are you buying today?",2022-03-26T12:30:35.000Z,,,
Jim Christian,@JimXFT,Lez do this!  #MURIbyHaus,2022-03-26T12:23:59.000Z,,,3
jbrekkie.eth,@lofitribez,"love this! tysm, i live for people like you! xoxo  #muri    #MURIbyHaus",2022-03-26T12:10:58.000Z,1,,3
NFT Whale Alert,@nftwhalealert,"Hourly Top Sales
KaijuFrenz: Genesis: 78
Capybaras Country Club Official: 65
Parallel Alpha: 61
JPunks: OG-Rex: 44
Peacefall: 38
Murder Head Death Club: 34
Trippy Toadz NFT: 30 MURI   by   Haus : 27
AlphaSharks NFT: 26
Happy Homies NFT: 26",2022-03-26T12:00:23.000Z,,2,8
NFT Sentiment Updates,@NFTSentimentX,"1H Top  #Nft  Sales

KaijuFrenz: Genesis: 78
Parallel Alpha: 71
Capybaras Country Club Official: 63
JPunks: OG-Rex: 43
Peacefall: 35
Murder Head Death Club: 35
Trippy Toadz NFT: 29 MURI   by   Haus : 27
KIWAMI Genesis: 25
The Alien Doogle: 25",2022-03-26T12:00:00.000Z,1,,5
Spr3adsh33t,@spr3adsh33t,"MURI   by   Haus  - Trading Price Analysis
Floor Price: 0.5 ETH
24 Hour Volume: 253 Trxs | 174.4 ETH
Owners/Supply: 6531/10000
Buy Floor Now:  https:// us?search[paymentAssets][0]=ETH&search[sortAscending]=true&search[sortBy]=PRICE&search[toggles][0]=BUY_NOW&ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 … View Activity:  https:// haus?ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 …  #muri    #NFTs",2022-03-26T10:47:08.000Z,,2,11
HIGH PROMOTIONS,@high_promotions,"Giveaway!! 
I am giving away this   @MuriNFT   

 to one lucky follower who:

1) Follows me!
2) Retweets this tweet
3) Tags 3 NFT friends in comments
4) Join discord  https:// Winner in 72hrs!!  #Muri    #MURIbyHaus    #NFT   #NFTGiveaways   #erc721   #NFTCollection   #NFTdrop",2022-03-26T05:54:35.000Z,5,9,14
Nick.nft ᵍᵐ,@Nickis_Dead,I still have a good feeling about   @MuriNFT   nows a good time to hop in before the next big pump! Constant volume!  #MURIbyHaus    #MURI    #NFT   #nftcollector   #NFTCommunity,2022-03-26T05:50:06.000Z,3,7,34
𝘕𝘐𝘊𝘏𝘖𝘓𝘈𝘚 𝘞𝘖𝘕𝘎 ,@nicholasxwong,ᴡᴇʙ 2 ᴠꜱ ᴡᴇʙ 3 ᴏꜰ ᴍᴇ.     @MuriNFT    @haustwts   #muribyhaus    #murifollowsmuri,2022-03-26T04:00:21.000Z,3,4,25
Spr3adsh33t,@spr3adsh33t,"MURI   by   Haus  - Trading Price Analysis
Floor Price: 0.5 ETH
24 Hour Volume: 253 Trxs | 174.4 ETH
Owners/Supply: 6531/10000
Buy Floor Now:  https:// us?search[paymentAssets][0]=ETH&search[sortAscending]=true&search[sortBy]=PRICE&search[toggles][0]=BUY_NOW&ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 … View Activity:  https:// haus?ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 …  #muri    #NFTs",2022-03-26T10:47:08.000Z,,2,11
HIGH PROMOTIONS,@high_promotions,"Giveaway!! 
I am giving away this   @MuriNFT   

 to one lucky follower who:

1) Follows me!
2) Retweets this tweet
3) Tags 3 NFT friends in comments
4) Join discord  https:// Winner in 72hrs!!  #Muri    #MURIbyHaus    #NFT   #NFTGiveaways   #erc721   #NFTCollection   #NFTdrop",2022-03-26T05:54:35.000Z,5,9,14
Nick.nft ᵍᵐ,@Nickis_Dead,I still have a good feeling about   @MuriNFT   nows a good time to hop in before the next big pump! Constant volume!  #MURIbyHaus    #MURI    #NFT   #nftcollector   #NFTCommunity,2022-03-26T05:50:06.000Z,3,7,34
𝘕𝘐𝘊𝘏𝘖𝘓𝘈𝘚 𝘞𝘖𝘕𝘎 ,@nicholasxwong,ᴡᴇʙ 2 ᴠꜱ ᴡᴇʙ 3 ᴏꜰ ᴍᴇ.     @MuriNFT    @haustwts   #muribyhaus    #murifollowsmuri,2022-03-26T04:00:21.000Z,3,4,25
